,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN
1,16-01-0138-46,16-031,16,1601,COLEGIO COBAN,KM.2 SALIDA A SAN JUAN CHAMELCO ZONA 8,77945104,GLENDA DINORA GARCIA DELGADO,JULIO CESAR VILLELA AMADO,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
2,16-01-0139-46,16-031,16,1601,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,77367402,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
3,16-01-0140-46,16-031,16,1601,COLEGIO LA INMACULADA,3A.AVE 2 25 ZONA 3,49532425,GLENDA DINORA GARCIA DELGADO,MERCEDES QUIROS QUIROS,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
4,16-01-0141-46,16-005,16,1601,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A.CALLE 11 10 ZONA 2,79514215,MARITZA SOEHY MORALES SURUY,NA,DIVERSIFICADO,OFICIAL,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
5,16-01-0142-46,16-005,16,1601,INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,3A.AVE 6 23 ZONA 11,79521468,MARITZA SOEHY MORALES SURUY,NA,DIVERSIFICADO,OFICIAL,URBANA,1,BILINGUE,VESPERTINA,DIARIO(REGULAR)
6,16-01-0143-46,16-031,16,1601,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1 9 ZONA 3,57101061,GLENDA DINORA GARCIA DELGADO,HECOTR WALDEMAR TOT COY,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
7,16-01-0145-46,16-006,16,1601,INSTITUTO DE TURSMO Y AVIACON DEL NORTE I.T.A.N,3 AVE 5 28 ZONA 4,54641454,ARMANDO AUDILIO POP CUCUL,LUIS FERNANDO SOTO,DIVERSIFICADO,PRIVADO,URBANA,2,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
8,16-01-0147-46,16-031,16,1601,COLEGIO LA INMACULADA,7A. CALLE 11 09 ZONA 6 COBAN,49532425,GLENDA DINORA GARCIA DELGADO,MERCEDES QUIROS QUIROS,DIVERSIFICADO,PRIVADO,RURAL,2,MONOLINGUE,DOBLE,DIARIO(REGULAR)
9,16-01-0150-46,16-006,16,1601,INSTITUTO INTERCULTRUAL ALTAVERAPACENCESE -IIAV-,3A.  AVE 1 23 ZONA 4,0,ARMANDO AUDILIO POP CUCUL,GUILLERMO ESTUARDO VASQUEZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,2,BILINGUE,DOBLE,FIN DE SEMANA
10,16-01-0155-46,16-031,16,1601,LICEO MODERNO LATINO,11 AVE 5 17 ZONA 4,79522555,GLENDA DINORA GARCIA DELGADO,JORGE BENEDICTO COC POP,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
11,16-01-0428-46,16-005,16,1601,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"BARRIO CANTON LAS CASAS, DIAGONAL 8 8 05 ZONA 8",79945251,MARITZA SOEHY MORALES SURUY,GEHU ABRAHAM CAAL MAAS,DIVERSIFICADO,OFICIAL,RURAL,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
12,16-01-0471-46,16-031,16,1601,COLEGIO DE INFORMATICA CENINFAV,12 AVE 2 12 ZONA 1,79545566,GLENDA DINORA GARCIA DELGADO,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,2,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
13,16-01-0478-46,16-031,16,1601,COLEGIO EVANGELICO LA PATRIA,FINCA CHIMAXITO ZONA 11,79514440,GLENDA DINORA GARCIA DELGADO,ELIGIO PASTOR GARCIA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
